BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),assembly
17.5,1019.3,557,200,1,0.0103565,0.00853445,0.00182208,0.00489339,0.236619,0.0168641,1.40873,1
17.5,1019.3,557,200,2,0.0870657,0.0425814,0.0444843,0.118673,0.943801,0.00169974,0.353182,1
20,1019.3,557,200,1,0.0105043,0.00873385,0.00177046,0.00478008,0.236573,0.0168163,1.40901,1
20,1019.3,557,200,2,0.086901,0.0434703,0.0434307,0.116727,0.945127,0.00169137,0.352686,1
22.5,1019.3,557,200,1,0.0106417,0.00891942,0.00172225,0.00467338,0.236523,0.0167757,1.4093,1
22.5,1019.3,557,200,2,0.0865977,0.0442463,0.0423514,0.114613,0.946228,0.00168062,0.352276,1
25,1019.3,557,200,1,0.0107708,0.00909327,0.00167755,0.00457373,0.23647,0.0167401,1.40962,1
25,1019.3,557,200,2,0.0861992,0.0449286,0.0412706,0.112404,0.947147,0.0016683,0.351934,1
27.5,1019.3,557,200,1,0.0108932,0.00925678,0.00163639,0.0044814,0.236413,0.0167083,1.40996,1
27.5,1019.3,557,200,2,0.0857408,0.0455328,0.040208,0.110163,0.947915,0.00165506,0.351649,1
30,1019.3,557,200,1,0.0110091,0.00941079,0.00159829,0.00439538,0.236352,0.0166796,1.41033,1
30,1019.3,557,200,2,0.0852514,0.0460716,0.0391798,0.107943,0.948558,0.00164143,0.35141,1
32.5,1019.3,557,200,1,0.0111184,0.00955537,0.00156308,0.00431541,0.236285,0.0166536,1.41073,1
32.5,1019.3,557,200,2,0.084755,0.0465557,0.0381993,0.105785,0.949096,0.00162787,0.351211,1
35,1019.3,557,200,1,0.0112209,0.00968998,0.00153092,0.00424202,0.236212,0.0166301,1.41116,1
35,1019.3,557,200,2,0.0842706,0.0469936,0.0372771,0.103726,0.949542,0.00161474,0.351046,1
0,1019.3,557,400,1,0.00895926,0.00666943,0.00228984,0.00587344,0.236838,0.0174211,1.40743,1
0,1019.3,557,400,2,0.0751748,0.0282621,0.0469127,0.114312,0.917825,0.00152222,0.363178,1
0.1,1019.3,557,400,1,0.00899343,0.00670397,0.00228946,0.00587263,0.237146,0.0175446,1.4056,1
0.1,1019.3,557,400,2,0.07742,0.0309523,0.0464677,0.113282,0.917002,0.00156301,0.363503,1
0.5,1019.3,557,400,1,0.00900747,0.00672951,0.00227795,0.00585082,0.237162,0.0175612,1.40551,1
0.5,1019.3,557,400,2,0.0786335,0.0319715,0.046662,0.11423,0.918314,0.0015844,0.362984,1
1,1019.3,557,400,1,0.00903087,0.00676754,0.00226333,0.00582309,0.237133,0.0175524,1.40568,1
1,1019.3,557,400,2,0.079768,0.0327847,0.0469833,0.115605,0.92003,0.00160405,0.362307,1
2,1019.3,557,400,1,0.00910335,0.00687108,0.00223227,0.00576172,0.237086,0.0175143,1.40596,1
2,1019.3,557,400,2,0.0815965,0.0341396,0.0474569,0.11782,0.923076,0.00163507,0.361111,1
3,1019.3,557,400,1,0.00919817,0.00699728,0.00220089,0.00569827,0.237058,0.0174637,1.40613,1
3,1019.3,557,400,2,0.0831198,0.0353542,0.0477656,0.119512,0.925706,0.00166031,0.360085,1
4,1019.3,557,400,1,0.00930137,0.00713203,0.00216934,0.00563338,0.237039,0.0174089,1.40624,1
4,1019.3,557,400,2,0.084378,0.0364381,0.0479399,0.120777,0.927996,0.00168063,0.359197,1
5,1019.3,557,400,1,0.00940781,0.00726865,0.00213916,0.00557102,0.237023,0.0173525,1.40633,1
5,1019.3,557,400,2,0.0854254,0.0374159,0.0480095,0.121707,0.930009,0.00169707,0.35842,1
6,1019.3,557,400,1,0.00951321,0.00740313,0.00211007,0.00551067,0.237008,0.0172975,1.40642,1
6,1019.3,557,400,2,0.0863013,0.0383061,0.0479952,0.122364,0.931793,0.0017104,0.357733,1
7,1019.3,557,400,1,0.00961515,0.00753332,0.00208184,0.00545177,0.236993,0.0172454,1.40651,1
