BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
6.0,1242.0,557.0,200.0,2,0.0831758,0.0361892,0.0469866,0.120024,0.933754,0.00176967,0.356982
7.0,1242.0,557.0,200.0,1,0.00967128,0.00762637,0.00204491,0.00536511,0.23757,0.017199,1.40309
7.0,1242.0,557.0,200.0,2,0.0839424,0.037017,0.0469254,0.120517,0.935357,0.00178147,0.35637
8.0,1242.0,557.0,200.0,1,0.00977348,0.00775508,0.0020184,0.00531001,0.237554,0.0171471,1.40319
8.0,1242.0,557.0,200.0,2,0.0845856,0.037779,0.0468065,0.120817,0.936792,0.00179096,0.355824
9.0,1242.0,557.0,200.0,1,0.0098704,0.00787772,0.00199267,0.00525624,0.237537,0.0170993,1.40329
9.0,1242.0,557.0,200.0,2,0.0851235,0.0384837,0.0466397,0.120955,0.938082,0.00179849,0.355335
10.0,1242.0,557.0,200.0,1,0.00996229,0.00799454,0.00196774,0.00520392,0.237519,0.017055,1.4034
10.0,1242.0,557.0,200.0,2,0.0855701,0.0391377,0.0464324,0.120953,0.939248,0.0018043,0.354894
11.0,1242.0,557.0,200.0,1,0.0100496,0.00810592,0.00194366,0.00515323,0.2375,0.0170141,1.40351
11.0,1242.0,557.0,200.0,2,0.0859377,0.0397467,0.046191,0.12083,0.940305,0.00180865,0.354495
12.5,1242.0,557.0,200.0,1,0.0101718,0.00826274,0.00190908,0.00508022,0.237469,0.0169589,1.40369
12.5,1242.0,557.0,200.0,2,0.0863565,0.0405825,0.045774,0.120449,0.941707,0.00181275,0.353967
15.0,1242.0,557.0,200.0,1,0.010356,0.00850111,0.0018549,0.00496522,0.237414,0.0168807,1.40402
15.0,1242.0,557.0,200.0,2,0.0867842,0.041808,0.0449762,0.119421,0.943652,0.00181468,0.353238
17.5,1242.0,557.0,200.0,1,0.0105239,0.00872073,0.0018032,0.00485402,0.237358,0.0168147,1.40435
17.5,1242.0,557.0,200.0,2,0.0869669,0.0428734,0.0440936,0.118035,0.945253,0.001812,0.352639
20.0,1242.0,557.0,200.0,1,0.0106774,0.00892232,0.00175505,0.00474951,0.237299,0.0167588,1.4047
20.0,1242.0,557.0,200.0,2,0.086956,0.0437996,0.0431563,0.116388,0.946566,0.00180579,0.35215
22.5,1242.0,557.0,200.0,1,0.0108198,0.00910955,0.00171024,0.0046514,0.237238,0.0167104,1.40506
22.5,1242.0,557.0,200.0,2,0.0868048,0.0446114,0.0421934,0.11457,0.947651,0.00179709,0.351747
25.0,1242.0,557.0,200.0,1,0.0109536,0.00928449,0.00166908,0.00456065,0.237173,0.0166671,1.40545
25.0,1242.0,557.0,200.0,2,0.0865571,0.0453285,0.0412286,0.112656,0.948552,0.00178673,0.351413
27.5,1242.0,557.0,200.0,1,0.0110798,0.00944862,0.00163117,0.00447649,0.237103,0.016628,1.40586
27.5,1242.0,557.0,200.0,2,0.0862476,0.0459668,0.0402808,0.110707,0.949302,0.00177538,0.351135
30.0,1242.0,557.0,200.0,1,0.011199,0.00960289,0.00159608,0.00439803,0.23703,0.0165924,1.40629
30.0,1242.0,557.0,200.0,2,0.0859048,0.0465393,0.0393655,0.108774,0.949927,0.00176361,0.350904
32.5,1242.0,557.0,200.0,1,0.0113113,0.0097474,0.00156386,0.00432558,0.236951,0.0165596,1.40676
32.5,1242.0,557.0,200.0,2,0.0855517,0.0470566,0.0384951,0.106897,0.950448,0.00175187,0.350712
35.0,1242.0,557.0,200.0,1,0.0114166,0.00988209,0.00153456,0.00425939,0.236867,0.0165294,1.40726
35.0,1242.0,557.0,200.0,2,0.0852062,0.0475275,0.0376787,0.105108,0.950879,0.0017405,0.350553
37.5,1242.0,557.0,200.0,1,0.0115169,0.0100088,0.00150814,0.0041995,0.236776,0.0165001,1.4078
37.5,1242.0,557.0,200.0,2,0.0848818,0.0479592,0.0369225,0.10343,0.951234,0.00172979,0.350422
40.0,1242.0,557.0,200.0,1,0.0116128,0.0101284,0.00148442,0.00414559,0.23668,0.016471,1.40837
40.0,1242.0,557.0,200.0,2,0.0845891,0.0483583,0.0362309,0.101882,0.951523,0.00171991,0.350315
42.5,1242.0,557.0,200.0,1,0.0117045,0.0102413,0.00146316,0.00409721,0.236577,0.0164419,1.40898
42.5,1242.0,557.0,200.0,2,0.0843359,0.0487301,0.0356058,0.100473,0.951757,0.00171102,0.350229
45.0,1242.0,557.0,200.0,1,0.0117923,0.010348,0.00144427,0.0040542,0.236468,0.0164124,1.40963
45.0,1242.0,557.0,200.0,2,0.0841268,0.0490791,0.0350477,0.0992101,0.951943,0.0017032,0.350161
47.5,1242.0,557.0,200.0,1,0.0118765,0.0104489,0.00142764,0.00401638,0.236354,0.0163823,1.41032
47.5,1242.0,557.0,200.0,2,0.0839643,0.049409,0.0345553,0.0980945,0.952088,0.00169649,0.350108
50.0,1242.0,557.0,200.0,1,0.0119573,0.0105442,0.00141309,0.00398339,0.236233,0.0163514,1.41104
50.0,1242.0,557.0,200.0,2,0.083849,0.049723,0.034126,0.0971232,0.952197,0.00169089,0.350068
52.5,1242.0,557.0,200.0,1,0.0120349,0.0106345,0.00140043,0.00395485,0.236106,0.0163198,1.41179
52.5,1242.0,557.0,200.0,2,0.0837797,0.0500234,0.0337563,0.0962906,0.952275,0.00168637,0.350039
55.0,1242.0,557.0,200.0,1,0.0121094,0.0107199,0.00138949,0.00393034,0.235975,0.0162875,1.41258
55.0,1242.0,557.0,200.0,2,0.0837542,0.0503121,0.0334421,0.0955886,0.952327,0.00168287,0.35002
57.5,1242.0,557.0,200.0,1,0.012181,0.0108009,0.00138007,0.00390945,0.235838,0.0162545,1.4134
57.5,1242.0,557.0,200.0,2,0.0837694,0.0505907,0.0331787,0.0950077,0.952356,0.00168031,0.350009
60.0,1242.0,557.0,200.0,1,0.0122497,0.0108777,0.00137202,0.0038918,0.235697,0.0162211,1.41424
60.0,1242.0,557.0,200.0,2,0.0838216,0.0508603,0.0329613,0.0945378,0.952366,0.00167862,0.350005
0.0,1242.0,557.0,400.0,1,0.00904801,0.00679725,0.00225076,0.00577935,0.237673,0.0174597,1.40249
0.0,1242.0,557.0,400.0,2,0.0736369,0.0281093,0.0455276,0.110937,0.918662,0.00159999,0.362846
0.1,1242.0,557.0,400.0,1,0.0090825,0.00683233,0.00225017,0.00577807,0.237981,0.0175827,1.40067
0.1,1242.0,557.0,400.0,2,0.0758567,0.0307509,0.0451058,0.109966,0.91789,0.00164299,0.363152
0.5,1242.0,557.0,400.0,1,0.00909723,0.00685826,0.00223897,0.0057573,0.237992,0.0175971,1.40061
0.5,1242.0,557.0,400.0,2,0.0771353,0.0317881,0.0453472,0.111053,0.919277,0.00166687,0.362604
1.0,1242.0,557.0,400.0,1,0.00912251,0.00689774,0.00222477,0.00573098,0.237956,0.0175849,1.40082
1.0,1242.0,557.0,400.0,2,0.0783528,0.0326315,0.0457213,0.112584,0.921073,0.00168915,0.361897
2.0,1242.0,557.0,400.0,1,0.00920135,0.00700668,0.00219466,0.00567252,0.237901,0.0175394,1.40114
2.0,1242.0,557.0,400.0,2,0.0803258,0.0340445,0.0462814,0.115051,0.924237,0.00172449,0.360658
3.0,1242.0,557.0,400.0,1,0.0093028,0.00713899,0.00216381,0.00561088,0.237867,0.0174818,1.40134
3.0,1242.0,557.0,400.0,2,0.0819748,0.0353101,0.0466647,0.11696,0.926955,0.00175333,0.3596
4.0,1242.0,557.0,400.0,1,0.00941424,0.00728029,0.00213395,0.00555056,0.237842,0.0174189,1.40149
4.0,1242.0,557.0,400.0,2,0.0833423,0.0364371,0.0469052,0.118414,0.929311,0.00177665,0.358689
5.0,1242.0,557.0,400.0,1,0.0095278,0.00742274,0.00210506,0.00549173,0.237821,0.0173556,1.40161
5.0,1242.0,557.0,400.0,2,0.0844873,0.0374524,0.0470349,0.119514,0.931374,0.00179564,0.357894
6.0,1242.0,557.0,400.0,1,0.00963946,0.00756232,0.00207713,0.00543456,0.237801,0.0172944,1.40173
6.0,1242.0,557.0,400.0,2,0.0854522,0.0383755,0.0470766,0.120328,0.933196,0.00181119,0.357196
7.0,1242.0,557.0,400.0,1,0.00974707,0.00769696,0.00205011,0.00537897,0.237781,0.0172366,1.40185
7.0,1242.0,557.0,400.0,2,0.0862682,0.0392209,0.0470473,0.120908,0.934816,0.00182391,0.356576
8.0,1242.0,557.0,400.0,1,0.00984971,0.00782565,0.00202405,0.00532515,0.23776,0.0171826,1.40197
8.0,1242.0,557.0,400.0,2,0.0869588,0.0399995,0.0469593,0.121293,0.936265,0.00183427,0.356024
9.0,1242.0,557.0,400.0,1,0.00994697,0.00794822,0.00199874,0.00527257,0.237739,0.0171328,1.4021
9.0,1242.0,557.0,400.0,2,0.0875423,0.0407198,0.0468225,0.121513,0.937568,0.00184264,0.35553
10.0,1242.0,557.0,400.0,1,0.0100391,0.00806484,0.00197427,0.00522154,0.237716,0.0170868,1.40223
10.0,1242.0,557.0,400.0,2,0.0880337,0.0413889,0.0466448,0.121591,0.938745,0.00184929,0.355084
11.0,1242.0,557.0,400.0,1,0.0101267,0.00817603,0.00195065,0.00517214,0.237693,0.0170442,1.40237
11.0,1242.0,557.0,400.0,2,0.0884445,0.0420123,0.0464322,0.121547,0.939812,0.00185444,0.354681
12.5,1242.0,557.0,400.0,1,0.0102492,0.0083325,0.00191675,0.00510105,0.237657,0.0169867,1.40258
12.5,1242.0,557.0,400.0,2,0.0889245,0.0428677,0.0460568,0.121278,0.941225,0.00185968,0.354148
15.0,1242.0,557.0,400.0,1,0.0104339,0.0085702,0.00186373,0.00498923,0.237594,0.0169048,1.40296
15.0,1242.0,557.0,400.0,2,0.0894478,0.0441232,0.0453246,0.120428,0.943185,0.00186339,0.353412
17.5,1242.0,557.0,400.0,1,0.0106023,0.00878917,0.00181316,0.00488117,0.237529,0.0168354,1.40333
17.5,1242.0,557.0,400.0,2,0.0897253,0.045219,0.0445064,0.119217,0.9448,0.00186247,0.352808
20.0,1242.0,557.0,400.0,1,0.0107561,0.00899007,0.00176608,0.0047796,0.237463,0.0167764,1.40373
20.0,1242.0,557.0,400.0,2,0.0898052,0.0461744,0.0436308,0.117736,0.946124,0.00185797,0.352315
22.5,1242.0,557.0,400.0,1,0.0108989,0.00917659,0.00172229,0.00468433,0.237394,0.0167249,1.40413
22.5,1242.0,557.0,400.0,2,0.0897407,0.0470143,0.0427264,0.116077,0.947218,0.00185088,0.351908
25.0,1242.0,557.0,400.0,1,0.0110329,0.00935082,0.00168205,0.00459618,0.237322,0.0166788,1.40456
25.0,1242.0,557.0,400.0,2,0.0895756,0.0477586,0.0418169,0.114314,0.948127,0.00184206,0.35157
27.5,1242.0,557.0,400.0,1,0.0111593,0.00951424,0.00164503,0.0045145,0.237247,0.0166368,1.40501
27.5,1242.0,557.0,400.0,2,0.0893441,0.0484232,0.0409209,0.112507,0.948885,0.00183217,0.351289
30.0,1242.0,557.0,400.0,1,0.0112786,0.00966785,0.00161075,0.00443834,0.237167,0.0165985,1.40548
30.0,1242.0,557.0,400.0,2,0.0890744,0.049021,0.0400533,0.110705,0.949518,0.00182175,0.351055
32.5,1242.0,557.0,400.0,1,0.011391,0.00981173,0.00157923,0.00436789,0.237082,0.0165632,1.40598
32.5,1242.0,557.0,400.0,2,0.0887892,0.0495627,0.0392265,0.108948,0.950047,0.00181127,0.35086
35.0,1242.0,557.0,400.0,1,0.0114964,0.00994586,0.00155053,0.00430344,0.236992,0.0165305,1.40652
35.0,1242.0,557.0,400.0,2,0.0885063,0.050057,0.0384493,0.107269,0.950485,0.00180105,0.350698
37.5,1242.0,557.0,400.0,1,0.0115967,0.0100721,0.00152461,0.00424505,0.236897,0.016499,1.40708
37.5,1242.0,557.0,400.0,2,0.088239,0.050511,0.037728,0.105689,0.950848,0.00179137,0.350564
40.0,1242.0,557.0,400.0,1,0.0116925,0.0101912,0.00150132,0.00419245,0.236795,0.0164679,1.40769
40.0,1242.0,557.0,400.0,2,0.0879978,0.0509312,0.0370666,0.104227,0.951146,0.00178242,0.350454
42.5,1242.0,557.0,400.0,1,0.0117842,0.0103038,0.00148041,0.00414516,0.236688,0.0164368,1.40832
42.5,1242.0,557.0,400.0,2,0.0877904,0.051323,0.0364675,0.102893,0.951389,0.00177435,0.350365
45.0,1242.0,557.0,400.0,1,0.0118719,0.0104102,0.00146178,0.00410301,0.236575,0.0164056,1.40899
